#{"t_start": 1770583015.146034, "env_id": "None"}
r,l,t
462.49997,500,2486.356136
282.05646,500,2486.356176
288.70084,500,2486.356193
-38.144527,500,2486.356205
262.36526,500,2510.504711
308.23645,500,2510.504771
122.87485,500,2510.504787
516.4843,500,2510.5048
228.94608,500,2525.014598
-18.288073,500,2525.014638
18.012848,500,2525.014654
296.72174,500,2525.014666
180.278,500,2539.186833
62.056587,500,2539.186875
53.095432,500,2539.18689
-46.666862,500,2539.186903
-16.0841,500,2553.428149
-43.39643,500,2553.428189
271.70792,500,2553.428205
198.38695,500,2553.428218
-35.275276,500,2577.035921
-27.00751,500,2577.035962
-35.714485,500,2577.035979
41.026417,500,2577.035992
129.30034,500,2591.951081
16.50515,500,2591.951122
37.81001,500,2591.951138
320.07108,500,2591.95115
306.93994,500,2606.551341
91.730545,500,2606.551384
89.65631,500,2606.5514
-51.724342,500,2606.551414
369.74985,500,2620.89138
38.889725,500,2620.891422
138.0965,500,2620.891438
-24.92513,500,2620.891451
160.18927,500,2645.144415
33.551144,500,2645.144474
-25.324877,500,2645.144492
53.06223,500,2645.144505
-20.382303,500,2659.957764
49.50262,500,2659.957808
50.000687,500,2659.957825
124.91438,500,2659.957838
480.6441,500,2674.648243
71.52189,500,2674.648283
114.724945,500,2674.648299
454.3059,500,2674.648312
17.449924,500,2689.040372
161.32487,500,2689.040417
470.39468,500,2689.040434
30.435326,500,2689.040446
-0.38299096,500,2713.301227
8.5042095,500,2713.301288
351.84854,500,2713.301305
152.67017,500,2713.301335
246.15204,500,2727.782454
98.41397,500,2727.782497
71.42984,500,2727.782513
59.23677,500,2727.782526
409.37418,500,2742.19172
-55.836155,500,2742.19176
144.52669,500,2742.191776
182.14403,500,2742.191789
50.943962,500,2756.576793
100.658554,500,2756.576834
-34.708103,500,2756.576851
104.4617,500,2756.576863
-20.266,500,2781.025607
169.00705,500,2781.025646
-35.275272,500,2781.025662
95.03671,500,2781.025676
59.17071,500,2795.595067
-64.285904,500,2795.595106
333.82187,500,2795.595122
-16.96773,500,2795.595134
19.40301,500,2809.983346
-20.863504,500,2809.983421
72.3084,500,2809.983443
360.62692,500,2809.983459
148.25282,500,2824.442684
134.87663,500,2824.442726
-41.97972,500,2824.442742
-20.635096,500,2824.442755
181.52553,500,2848.850494
128.3961,500,2848.850537
327.00772,500,2848.850552
185.71526,500,2848.850564
-51.38909,500,2862.968365
220.26256,500,2862.968407
223.53049,500,2862.968423
35.417324,500,2862.968435
-67.320404,500,2877.099193
274.07413,500,2877.099235
23.188122,500,2877.099251
161.74532,500,2877.099263
231.1693,500,2891.231167
-69.283394,500,2891.231208
168.65765,500,2891.231224
-33.7981,500,2891.231236
430.03305,500,2915.715266
179.851,500,2915.715305
27.389015,500,2915.715321
-8.78372,500,2915.715333
382.08368,500,2930.004752
-46.488503,500,2930.004812
37.584606,500,2930.00483
139.72607,500,2930.004844
149.2225,500,2944.597561
-40.351078,500,2944.597604
137.62468,500,2944.59762
197.49223,500,2944.597633
185.26709,500,2959.142573
-7.238686e-05,500,2959.142615
-12.772745,500,2959.142633
47.72812,500,2959.142645
326.05392,500,2973.625512
142.95871,500,2973.625552
274.19302,500,2973.625568
94.75778,500,2973.625581
264.25803,500,2997.746991
162.239,500,2997.747032
195.95142,500,2997.747048
175.26228,500,2997.747061
40.288586,500,3012.167011
42.348667,500,3012.167051
34.276333,500,3012.167067
92.81138,500,3012.16708
45.06264,500,3026.992026
11.110856,500,3026.992069
417.79758,500,3026.992085
71.42876,500,3026.992098
-16.666883,500,3041.421178
256.93082,500,3041.421217
141.15854,500,3041.421234
99.30199,500,3041.421247
255.46739,500,3065.587034
-13.432966,500,3065.587074
22.950974,500,3065.587089
-16.66676,500,3065.587102
339.44452,500,3080.062939
38.408974,500,3080.062981
5.442376,500,3080.062998
2.5638218,500,3080.06301
-41.368294,500,3094.459381
187.06735,500,3094.459423
142.32158,500,3094.459438
5.2631435,500,3094.45945
395.11392,500,3109.056611
434.0474,500,3109.056653
243.17348,500,3109.056669
121.538445,500,3109.056681
131.88521,500,3132.95127
58.064583,500,3132.951309
51.02142,500,3132.951326
54.718067,500,3132.951339
59.575626,500,3147.238534
65.25501,500,3147.238577
-34.579643,500,3147.238593
5.769474,500,3147.238606
230.21928,500,3161.859449
21.795311,500,3161.859491
-30.232782,500,3161.859507
82.92801,500,3161.85952
190.97105,500,3176.124868
56.627026,500,3176.124924
137.11444,500,3176.124941
-3.9144948,500,3176.124954
223.4328,500,3200.417365
-26.66686,500,3200.417406
-67.27289,500,3200.417422
4.0268593,500,3200.417435
-41.86068,500,3214.275311
-53.177467,500,3214.275353
165.91882,500,3214.27537
0.7196168,500,3214.275383
-11.660895,500,3228.501863
-58.199562,500,3228.501903
137.80527,500,3228.501918
-61.538677,500,3228.501931
85.56767,500,3242.926823
-12.500125,500,3242.926862
284.32846,500,3242.926879
-72.47711,500,3242.926891
267.13284,500,3267.000669
-60.000202,500,3267.000735
-72.3184,500,3267.000751
-28.082384,500,3267.000764
-16.388094,500,3281.444457
12.9570465,500,3281.44455
315.84183,500,3281.444578
147.55795,500,3281.444596
63.19572,500,3295.845289
-23.077124,500,3295.845331
166.90498,500,3295.845346
-6.976991,500,3295.845359
14.285901,500,3310.705146
-30.070124,500,3310.705224
-56.36385,500,3310.705243
21.107708,500,3310.705257
308.30322,500,3335.191392
190.83765,500,3335.191437
22.92382,500,3335.191453
142.18874,500,3335.191465
22.033775,500,3349.362324
18.421402,500,3349.362365
25.000408,500,3349.362381
-15.493149,500,3349.362394
251.25302,500,3364.094823
331.9721,500,3364.094862
-47.8529,500,3364.094878
