#{"t_start": 1770500331.618574, "env_id": "None"}
r,l,t
811.56604,1000,2849.129622
583.8751,1000,2849.331311
329.52597,1000,2852.159241
250.47769,1000,2853.102998
320.88187,1000,2866.488739
859.2647,1000,2866.691683
907.40625,926,2869.387371
710.7151,1000,2869.588013
433.83,1000,2883.449151
761.0286,1000,2883.652004
334.9268,1000,2886.318268
362.06458,1000,2886.517093
908.30316,917,2902.417707
746.6971,1000,2904.218868
839.85486,1000,2907.286283
642.04376,1000,2907.506035
783.2776,1000,2923.206306
313.0388,1000,2924.811158
492.98947,1000,2927.790718
528.6736,1000,2928.013805
828.2747,1000,2942.201851
296.96497,1000,2943.787959
287.41324,1000,2946.78064
888.60266,1000,2947.008521
445.44962,1000,2961.420253
639.93695,1000,2963.036544
341.43793,1000,2966.059643
580.14307,1000,2966.284611
637.37555,1000,2983.088508
703.39404,1000,2983.08855
398.28973,1000,2983.088567
418.51422,1000,2983.088579
689.47845,1000,3000.12779
274.99652,1000,3000.127832
202.32326,1000,3000.127849
295.01355,1000,3000.127862
933.40094,666,3014.605951
645.8288,1000,3019.814826
854.2085,1000,3019.814868
848.62415,1000,3019.814884
827.2821,1000,3033.582359
383.32956,1000,3039.208408
174.13837,1000,3039.208448
305.4011,1000,3039.208465
652.9007,1000,3052.429713
664.2977,1000,3058.034017
423.07266,1000,3058.034057
629.0949,1000,3058.034073
226.46606,1000,3071.271791
235.43875,1000,3076.658985
263.96625,1000,3076.65903
892.7033,1000,3076.659047
352.95712,1000,3090.096256
267.40814,1000,3095.436685
496.3027,1000,3095.436725
569.58813,1000,3095.436741
152.27527,1000,3108.893993
453.56726,1000,3114.183107
311.36627,1000,3114.183146
681.3642,1000,3114.183162
190.53604,1000,3124.713913
455.9274,1000,3131.83112
378.38116,1000,3131.831159
714.9557,1000,3131.831175
540.181,1000,3142.330573
191.36197,1000,3149.60873
468.96146,1000,3149.60877
272.5443,1000,3149.608786
632.7363,1000,3159.746249
549.2075,1000,3166.806283
375.0951,1000,3166.806323
444.2142,1000,3166.80634
390.97153,1000,3177.418756
364.67914,1000,3185.072606
368.08145,1000,3185.072667
726.6684,1000,3185.072687
449.29056,1000,3195.794358
385.43344,1000,3203.295103
727.34265,1000,3203.295143
405.18558,1000,3203.29516
763.94824,1000,3214.181426
510.4833,1000,3221.586004
258.61594,1000,3221.586046
665.35614,1000,3221.586062
286.75464,1000,3231.711469
422.17923,1000,3238.674293
265.69156,1000,3238.674332
361.53345,1000,3238.674347
303.44537,1000,3249.727107
264.61575,1000,3257.610127
616.2753,1000,3257.610168
826.32025,1000,3257.610184
701.4454,1000,3267.962574
313.329,1000,3274.978266
399.9967,1000,3274.978305
371.4246,1000,3274.978321
647.2936,1000,3284.797984
510.12045,1000,3291.672899
144.77127,1000,3291.672937
294.65634,1000,3291.672953
396.85022,1000,3302.231304
711.55084,1000,3309.482276
350.97552,1000,3309.482328
447.09763,1000,3309.482345
230.15411,1000,3319.607242
316.6435,999,3326.668613
208.6376,1000,3326.704869
529.2107,1000,3326.704908
312.60327,1000,3336.621392
599.62256,1000,3343.663752
240.65512,1000,3343.696203
340.39566,1000,3343.696242
640.4865,1000,3353.720247
272.42767,962,3358.500588
540.4065,1000,3361.295108
836.26733,1000,3361.326846
336.8179,1000,3371.097047
362.53592,1000,3375.511192
365.98215,1000,3376.08499
537.9942,1000,3376.118068
319.66754,1000,3388.522631
188.80597,1000,3392.916329
303.27426,1000,3393.478451
274.1454,1000,3393.512599
256.8977,1000,3405.425751
613.2874,1000,3410.218251
300.7312,1000,3410.918504
218.01608,1000,3410.955368
316.1032,1000,3422.720824
398.31155,1000,3426.908605
51.40918,1000,3427.456883
271.0108,1000,3427.490495
174.99503,1000,3439.580449
230.21332,1000,3444.052427
243.03844,1000,3444.630359
490.479,1000,3444.666409
157.42091,1000,3459.011912
283.50787,1000,3459.011951
450.33148,1000,3459.011966
28.115152,1000,3459.011982
-43.143566,1000,3474.210492
202.3208,1000,3474.210532
43.370552,1000,3474.210548
207.13821,1000,3474.210561
223.22763,1000,3492.33254
361.78125,1000,3492.33258
195.23328,1000,3492.332595
232.18762,1000,3492.332608
342.8531,1000,3510.511186
