#{"t_start": 1770578320.2685711, "env_id": "None"}
r,l,t
785.3102,1000,3239.091015
786.85516,1000,3241.317312
859.5667,1000,3242.253309
658.5149,1000,3242.666041
288.68762,1000,3255.907363
441.1344,1000,3258.16661
487.45364,1000,3259.100119
620.34045,1000,3259.510237
831.82086,1000,3271.649325
878.10406,1000,3274.140541
633.7978,1000,3275.177962
855.06476,1000,3275.636777
650.0023,1000,3290.084544
354.83392,1000,3292.366917
659.49646,1000,3293.298491
832.43866,1000,3293.707621
730.8657,1000,3305.063794
837.5008,1000,3307.318948
658.8655,1000,3308.2582
620.1274,1000,3308.692562
709.06506,1000,3322.459214
614.2901,1000,3324.748739
694.4271,1000,3325.686339
688.2793,1000,3326.109039
716.09717,1000,3337.470639
853.9066,1000,3339.720892
553.8502,1000,3340.646696
561.0151,1000,3341.051894
756.672,1000,3354.713966
696.7241,1000,3356.981429
626.6704,1000,3357.942607
763.1624,1000,3358.355007
892.13666,1000,3369.997364
780.14294,1000,3372.440687
444.71002,1000,3373.452146
295.0134,1000,3373.910751
268.6086,1000,3388.412976
476.78702,1000,3390.635886
704.2013,1000,3391.554912
852.0072,1000,3391.961403
575.4132,1000,3403.215427
280.79105,1000,3405.424925
423.98044,1000,3406.332791
768.2185,1000,3406.74875
496.71808,1000,3420.385177
496.02478,1000,3422.648752
455.90588,1000,3423.602635
655.32416,1000,3424.015244
653.4264,1000,3435.213402
335.36996,1000,3437.427833
871.4357,1000,3438.352552
311.9561,1000,3438.77927
835.49054,1000,3450.162701
168.29076,1000,3454.314377
706.8984,1000,3455.237522
275.37125,1000,3455.652153
143.41628,1000,3466.906639
508.2177,1000,3469.296184
308.75455,1000,3470.327026
701.41986,1000,3470.77786
302.6357,1000,3483.419944
394.76956,1000,3487.951764
204.47333,1000,3488.896521
724.637,1000,3489.308128
445.17764,1000,3500.740667
249.69185,1000,3502.99352
636.6564,1000,3503.915677
639.8095,1000,3504.341428
310.09042,1000,3515.699189
788.11304,1000,3520.082123
855.93823,1000,3521.014633
551.08685,1000,3521.427109
297.98907,1000,3532.721217
708.6448,1000,3534.935758
888.85614,1000,3535.844953
735.82184,1000,3536.25721
839.7239,1000,3547.582314
386.48242,1000,3549.863501
599.0378,1000,3552.693583
799.633,1000,3553.107201
757.14575,1000,3564.374071
666.3245,1000,3566.668155
871.43506,1000,3567.631756
638.41266,1000,3568.071153
873.4874,1000,3580.744052
701.9508,1000,3583.263798
599.0567,1000,3586.316268
790.00476,1000,3586.732481
868.5109,1000,3598.096243
463.56964,1000,3600.346724
609.7901,1000,3601.264863
421.73425,1000,3601.677608
683.9533,1000,3613.033969
853.24426,1000,3615.294453
822.8027,1000,3616.241967
741.7529,1000,3616.675492
431.44174,1000,3630.11599
838.3564,1000,3632.346123
902.9058,971,3633.232543
830.6965,1000,3633.296362
873.9869,1000,3645.052306
278.87744,1000,3647.282998
835.59906,1000,3648.161753
686.2071,1000,3648.225027
907.30396,927,3660.806853
226.08269,1000,3664.240015
728.8624,1000,3665.156741
435.47928,1000,3665.224954
819.0995,1000,3676.931417
850.9508,1000,3680.59528
862.1262,1000,3681.55824
339.99576,1000,3681.628619
808.20294,1000,3694.643676
782.1615,1000,3698.062705
